rating_10,adj._gross_(eur),age_stats,homegrown_low_paid_flag,transfer_status,proxy_market_value,market_value_lag
0.7,926986.0,29.0,1,0,4266.27,0.0
0.7,1300000.0,23.0,0,0,55768.12,146808.13
7.3,1009974.0,23.0,1,0,320790.45,0.0
0.2,898983.0,28.0,1,0,1827.18,0.0
9.3,2860000.0,30.0,0,0,991890.44,134579.55
0.2,330000.0,24.0,1,0,626.72,941.07
0.6,6340750.0,25.0,0,0,27778.21,0.0
4.9,1626582.0,23.0,0,0,372534.86,0.0
1.0,4164965.0,32.0,0,0,24375.0,138524.39
2.2,2648661.0,30.0,0,0,35199.71,25783.7
3.5,12697016.0,33.0,0,0,222323.05,0.0
1.5,1035324.0,26.0,1,0,11458.13,22418.57
3.5,2344813.0,30.0,0,0,48346.61,0.0
5.8,1200000.0,30.0,1,0,65568.0,78472.89
4.4,600000.0,23.0,1,0,21485.85,0.0
